码值,命中字节VA,指令起点VA,分类,CALL目标,实际HEX,双版本一致,PASS
0xBBD,0x00437ACF,0x00437ACE,假阳性：CALL rel32操作数,0x00438690,e8bd0b0000,是,PASS
0xBBD,0x00442B7D,0x00442B7C,"真实消费者：CMP EAX, imm32",-,3dbd0b0000,是,PASS
0xBBF,0x0042269B,0x0042269A,"真实消费者：CMP EAX, imm32",-,3dbf0b0000,是,PASS
0xBBF,0x00422729,0x00422728,"真实消费者：CMP EAX, imm32",-,3dbf0b0000,是,PASS
0xBBF,0x004227CA,0x004227C9,"真实消费者：CMP EAX, imm32",-,3dbf0b0000,是,PASS
0xBC4,0x004226B0,0x004226AF,"真实消费者：CMP EAX, imm32",-,3dc40b0000,是,PASS
0xBC4,0x004227D8,0x004227D7,"真实消费者：CMP EAX, imm32",-,3dc40b0000,是,PASS
0xBC5,0x004226B7,0x004226B6,"真实消费者：CMP EAX, imm32",-,3dc50b0000,是,PASS
0xBC5,0x004227E6,0x004227E5,"真实消费者：CMP EAX, imm32",-,3dc50b0000,是,PASS
